"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2023","15.07","15.45","15.69","14.98","4.96M","-3.09%"
"12/08/2023","15.55","15.83","16.48","15.47","10.40M","-4.95%"
"12/07/2023","16.36","13.71","16.52","13.56","19.84M","10.24%"
"12/06/2023","14.84","15.36","15.70","14.64","12.69M","-0.47%"
"12/05/2023","14.91","16.47","16.72","14.87","14.22M","-12.19%"
"12/04/2023","16.98","15.29","17.41","14.91","20.10M","10.98%"
"12/01/2023","15.30","14.52","15.99","14.50","13.38M","5.15%"
"11/30/2023","14.55","16.29","16.33","14.31","16.54M","-10.46%"
"11/29/2023","16.25","15.49","17.56","14.70","61.17M","20.46%"
"11/28/2023","13.49","11.90","13.55","11.89","14.19M","13.27%"
"11/27/2023","11.91","12.18","12.33","11.89","3.71M","-2.38%"
"11/24/2023","12.20","12.22","12.41","12.18","1.23M","-0.73%"
"11/22/2023","12.29","12.56","12.71","12.19","2.36M","-2.07%"
"11/21/2023","12.55","12.65","12.72","12.26","3.71M","-1.95%"
"11/20/2023","12.80","13.00","13.20","12.80","2.30M","-1.77%"
"11/17/2023","13.03","12.52","13.06","12.52","3.42M","3.99%"
"11/16/2023","12.53","13.14","13.19","12.52","3.43M","-5.58%"
"11/15/2023","13.27","13.15","13.50","13.03","4.12M","2.87%"
"11/14/2023","12.90","12.75","13.39","12.69","5.19M","6.26%"
"11/13/2023","12.14","12.50","12.53","11.82","4.32M","-3.19%"
"11/10/2023","12.54","12.81","12.97","12.35","3.88M","-1.26%"
"11/09/2023","12.70","13.25","13.32","12.70","2.75M","-4.37%"
"11/08/2023","13.28","13.51","13.76","13.28","1.71M","-2.64%"
"11/07/2023","13.64","13.47","13.79","13.23","2.35M","0.81%"
"11/06/2023","13.53","13.99","14.05","13.48","2.16M","-2.45%"
"11/03/2023","13.87","13.90","14.40","13.83","2.97M","1.69%"
"11/02/2023","13.64","13.37","13.69","13.27","3.57M","4.84%"
"11/01/2023","13.01","13.78","13.80","13.01","3.43M","-5.52%"
"10/31/2023","13.77","12.85","13.90","12.82","4.57M","7.58%"
"10/30/2023","12.80","13.15","13.27","12.59","3.48M","-2.44%"
"10/27/2023","13.12","13.51","13.61","13.02","2.48M","-2.81%"
"10/26/2023","13.50","13.73","13.80","13.41","2.04M","-1.53%"
"10/25/2023","13.71","14.01","14.01","13.60","1.97M","-2.35%"
"10/24/2023","14.04","13.59","14.30","13.55","3.74M","4.46%"
"10/23/2023","13.44","13.28","13.59","13.04","2.79M","0.00%"
"10/20/2023","13.44","13.18","13.80","13.12","3.66M","2.13%"
"10/19/2023","13.16","13.80","13.85","12.90","5.81M","-4.98%"
